Genres,Release_year,Runtime,Language,Adult,Vote_average
"['Crime', 'Mystery', 'Thriller']",2022.0,177,en,0,7.656
"['Adventure', 'Animation', 'Family', 'Fantasy']",2013.0,102,en,0,7.248
"['Animation', 'Fantasy', 'Music', 'Science Fiction']",2026.0,141,ja,0,8.3
"['Drama', 'Mystery', 'Thriller']",1999.0,159,en,0,7.485
"['Animation', 'Comedy', 'Family', 'Fantasy']",2007.0,111,en,0,7.836
"['Comedy', 'Romance']",2026.0,101,en,0,7.7
"['Adventure', 'Animation', 'Comedy', 'Family']",2009.0,96,en,0,7.959
"['Comedy', 'Horror', 'Science Fiction']",2026.0,126,en,0,0.0
"['Action', 'Adventure', 'Fantasy']",2011.0,136,en,0,6.565
"['Action', 'Adventure', 'Fantasy']",1999.0,124,en,0,6.962
['Comedy'],1993.0,110,en,0,6.647
"['Action', 'Science Fiction']",2025.0,85,en,0,5.9
"['Adventure', 'Fantasy']",2007.0,138,en,0,7.672
"['Comedy', 'Drama']",2025.0,115,en,0,5.614
"['Adventure', 'Fantasy']",2011.0,130,en,0,8.081
"['Horror', 'Science Fiction', 'Thriller']",2025.0,90,en,0,5.828
['Drama'],2019.0,115,en,0,0.0
"['Action', 'Crime', 'Thriller']",2025.0,101,en,0,6.572
"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2026.0,98,en,0,0.0
"['Animation', 'Comedy', 'Family']",2010.0,102,en,0,7.8
"['Drama', 'Fantasy', 'Thriller']",1986.0,89,en,0,4.8
"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",2015.0,95,en,0,7.909
"['Action', 'Adventure', 'Science Fiction']",2023.0,150,en,0,7.926
"['Adventure', 'Animation', 'Comedy', 'Family']",2019.0,100,en,0,7.467
"['Horror', 'Mystery']",2025.0,95,ko,0,6.641
"['Drama', 'Mystery', 'Thriller']",2014.0,149,en,0,7.888
"['Adventure', 'Fantasy']",2009.0,153,en,0,7.682
"['Drama', 'Mystery', 'Thriller']",2010.0,138,en,0,8.2
"['Action', 'Adventure', 'Fantasy']",2017.0,141,en,0,7.21
"['Animation', 'Family']",2003.0,100,en,0,7.817
"['Drama', 'History', 'War']",1993.0,195,en,0,8.566
"['Action', 'Crime', 'Drama', 'Thriller']",2012.0,165,en,0,7.791
"['Action', 'Adventure', 'Drama']",2000.0,155,en,0,8.222
"['Drama', 'Fantasy', 'Romance']",2008.0,122,en,0,6.282
"['Adventure', 'Fantasy']",2010.0,146,en,0,7.736
[],2004.0,61,en,0,0.0
"['Action', 'Science Fiction', 'Thriller']",1991.0,137,en,0,8.139
"['Action', 'Crime', 'Thriller']",2023.0,170,en,0,7.708
"['Crime', 'Horror', 'Thriller']",2010.0,104,sr,0,5.431
"['Drama', 'Music', 'Romance']",2025.0,133,en,0,7.436
"['Drama', 'Mystery', 'Science Fiction']",2016.0,116,en,0,7.624
"['Adventure', 'Drama', 'Science Fiction']",2015.0,141,en,0,7.7
"['Drama', 'Music']",2014.0,107,en,0,8.373
"['Comedy', 'Romance']",2025.0,99,en,0,6.158
"['Horror', 'Thriller']",2025.0,104,en,0,6.11
"['Comedy', 'Crime', 'Mystery']",2019.0,131,en,0,7.841
"['Action', 'Adventure', 'Science Fiction']",2019.0,129,en,0,7.396
"['Animation', 'Family', 'Fantasy']",2009.0,100,en,0,7.9
"['Action', 'Crime', 'Thriller']",2026.0,77,zh,0,5.5
"['Animation', 'Family', 'Science Fiction']",2008.0,98,en,0,8.107
"['Horror', 'Thriller']",1980.0,144,en,0,8.2
"['Action', 'Crime', 'Drama']",1983.0,170,en,0,8.2
