Movie_id,Vote_average,Vote_count
9603,7.257,4717
1522923,6.8,51
2649,7.568,7179
616,7.598,7372
762975,8.05,2830
986206,5.952,63
8920,5.731,4196
56292,7.109,10607
13183,7.349,9801
13186,6.142,1505
400535,6.941,3934
263132,4.979,47
1306245,0.0,0
43949,8.001,3263
1108427,0.0,0
724890,6.9,5
532794,6.1,12
1255674,5.37,27
1301122,5.28,25
1313003,5.784,51
1250,5.588,6336
254,6.887,8359
1771,7.004,22474
497582,7.235,6449
1290879,6.2,891
38055,7.017,7336
1245993,6.913,770
497582,7.235,6449
381284,8.047,10269
624860,6.345,6306
1290879,6.2,891
549509,6.96,1555
1140535,6.123,684
1149504,5.688,316
38055,7.017,7336
10634,7.134,1958
335,8.3,4778
7512,6.368,3425
1370123,6.536,14
1608982,3.9,22
1933,7.617,7018
49797,7.791,2921
5175,6.754,4478
425909,7.327,5042
75780,6.653,7499
193551,5.7,21
320288,5.961,6957
1042834,6.719,566
1356039,8.262,785
1005331,6.89,2625
879,6.837,5621
62211,7.0,11162
631843,6.322,4784
8467,6.646,6568
1338799,8.136,59
639720,6.982,1544
50014,8.201,8875
839033,6.539,798
1501204,0.0,0
10527,6.524,7314
467244,7.008,2490
1340110,6.136,22
75780,6.653,7499
363676,7.199,7606
22894,5.896,2815
10494,8.301,3072
38575,6.6,6448
666277,7.719,2204
792,7.742,4973
950,6.716,10213
1280282,6.6,59
18823,5.9,6579
205587,7.328,4351
198184,6.786,8339
1126166,5.945,1102
246403,5.516,1565
7555,6.69,4183
336843,7.086,8273
747,7.539,9150
867,5.549,778
594,7.35,8535
341013,6.434,6533
1366745,4.292,12
897160,7.479,120
147441,5.881,4776
158015,6.252,8732
9489,6.7,3560
2567,7.216,5725
385141,4.0,7
453,7.854,10883
1368337,0.0,0
72976,6.853,3993
93685,5.8,68
277217,7.152,2479
7299,7.045,4902
846422,5.9,889
4347,7.637,4608
1319895,6.923,65
1892,7.904,16672
290859,6.412,5550
1954,7.572,8059
9453,5.979,957
311324,6.028,5459
531219,6.341,2951
1586,6.566,3868
381284,8.047,10269
9453,5.979,957
311324,6.028,5459
531219,6.341,2951
1586,6.566,3868
381284,8.047,10269
1147266,6.174,23
60599,6.308,926
818397,6.74,1624
6114,7.4,5651
4638,7.562,8148
